Species,Genus,Family,SuperFamily,Order,Class,Major,J_per_mgWM,Mobility_code,Food_code
Moroteuthis ingens,Moroteuthis,Onychoteuthidae,Teuthida,Decabrachia,Cephalopoda,Mollusca,3.888771666666666,3.0,3.0
Sepioteuthis bilineata,Sepioteuthis,Loliginidae,Teuthida,Decabrachia,Cephalopoda,Mollusca,3.9773933333333336,3.0,3.0
Nototodarus sloani,Nototodarus,Ommastrephidae,Teuthida,Decabrachia,Cephalopoda,Mollusca,4.4946383333333335,3.0,3.0
Molgula manhattensis,Molgula,Molgulidae,Stolidobranchia,Stolidobranchia,Ascidiacea,Tunicata,,0.0,1.0
Sagitta hispida,Sagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,,3.0,3.0
Sagitta tenuis,Sagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,,3.0,3.0
Spartina maritima,Spartina,Poaceae,Cyperales,Commelinidae,Magnoliopsida,Tracheophyta,,0.0,0.0
Artemia salina,Artemia,Artemiidae,Anostraca,Sarsostraca,Branchiopoda,Crustacea,,3.0,1.0
Pollicipes polymerus,Pollicipes,Pollicipedidae,Pedunculata,Thoracica,Cirripedia,Crustacea,,0.0,3.0
Ovalipes punctatus,Ovalipes,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,3.1008,1.0,3.0
Ovalipes punctatus,Ovalipes,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,2.9123900000000003,1.0,3.0
Spartina alterniflora,Spartina,Poaceae,Cyperales,Commelinidae,Magnoliopsida,Tracheophyta,,0.0,0.0
Juncus roemerianus,Juncus,Juncaceae,Juncales,Commelinidae,Magnoliopsida,Tracheophyta,,0.0,0.0
Spartina cynosuroides,Spartina,Poaceae,Cyperales,Commelinidae,Magnoliopsida,Tracheophyta,,0.0,0.0
Schoenoplectus americanus,Schoenoplectus,Cyperaceae,Cyperales,Commelinidae,Magnoliopsida,Tracheophyta,,0.0,0.0
Distichlis spicata,Distichlis,Poaceae,Cyperales,Commelinidae,Magnoliopsida,Tracheophyta,,0.0,0.0
Crangon crangon,Crangon,Crangonidae,Caridea,Decapoda,Malacostraca,Crustacea,,2.0,3.0
Musculium lacustre,Musculium,Sphaeriidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Musculium securis,Musculium,Sphaeriidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Musculium securis,Musculium,Sphaeriidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Musculium partumeium,Musculium,Sphaeriidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Musculium partumeium,Musculium,Sphaeriidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Musculium partumeium,Musculium,Sphaeriidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Pisidium casertanum,Pisidium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Pisidium compressum,Pisidium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Pisidium compressum,Pisidium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium fabale,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium rhomboideum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium simile,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium striatum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium striatum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium striatum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium striatum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium striatum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium striatum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium striatum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium striatum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium striatum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Sphaerium striatum,Sphaerium,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Corbicula fluminea,Corbicula,Pisidiidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Pagurus bernhardus,Pagurus,Paguridae,Anomura,Decapoda,Malacostraca,Crustacea,8.6715,3.0,1.0
Scirpus californicus,Scirpus,Cyperaceae,Cyperales,Commelinidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Phragmites australis,Phragmites,Poaceae,Cyperales,Commelinidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Typha angustifolia,Typha,Typhaceae,Typhales,Commelinidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Juncus procerus,Juncus,Juncaceae,Juncales,Commelinidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Cyperus eragrostis,Cyperus,Cyperaceae,Cyperales,Commelinidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Sagittaria montevidense,Sagittaria,Alismataceae,Alismatales,Alismatidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Senecio fistulosus,Senecio,Asteraceae,Asterales,Asteridae,Magnoliopsida,Tracheophyta,,1.0,3.0
Polygonum hydropiperoides,Polygonum,Polygonaceae,Polygonales,Caryophyllidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Myriophyllum aquaticum,Myriophyllum,Haloragaceae,Haloragales,Rosidae,Magnoliopsida,Tracheophyta,,1.0,3.0
