AreaID,Year,FG_num,FG_name,mean_density,n_strata_contributing,n_samples_total
1,1994,64,Bivalves,0.0917703047605236,3,21
1,1994,61,Benthopelagic cephalopods,0.0292252982339963,4,24
1,1994,44,Flatfishes,0.15694392884997,4,24
1,1994,74,Non-commercial decapods,0.304518620999697,4,24
1,1994,65,Gastropods,0.00278826176867494,3,21
1,1994,35,Sparidae+,1.74892461654133,4,24
1,1994,53,No commercial small demersal fish,3.12644391830521,4,24
1,1994,28,European conger,0.0518012121677431,4,24
1,1994,63,Other benthic cephalopods,0.0340015286217459,4,24
1,1994,40,Scorpaenidae+,0.0720860329375373,4,24
1,1994,27,Anglerfish,0.0925053249143718,4,24
1,1994,29,European hake juv.,0.111905508753852,4,24
1,1994,50,Red mullet,0.0184965021454222,3,10
1,1994,51,Surmullet,0.0322406452814921,3,21
1,1994,60,Coastal benthic cephalopods,0.149519799830769,3,10
1,1994,46,No commercial medium demersal fish,0.0704352791810976,4,24
1,1994,34,Common pandora,0.0231353343294649,2,7
1,1994,58,Rays and skates,0.0308398994454591,2,5
1,1994,19,European sardine adult,0.00850483607720085,1,2
1,1994,16,Mackerels,0.00727408916821982,2,7
1,1994,55,Small-spotted catshark,0.0057579834353311,4,24
1,1994,43,Labridae and serranidae+,0.0652029594767473,3,10
1,1994,24,Other small pelagic fish,0.0189686855231137,2,7
1,1994,73,Other commercial decapods,0.000605403891598941,1,2
1,1994,17,Horse mackerels,1.45814876612872,4,24
1,1994,45,Other commercial medium demersal fish,0.106845912292958,4,24
1,1995,61,Benthopelagic cephalopods,0.0412616297366691,4,27
1,1995,64,Bivalves,0.192596267059696,4,27
1,1995,74,Non-commercial decapods,0.570573451614798,4,27
1,1995,44,Flatfishes,0.423151336414688,4,27
1,1995,35,Sparidae+,0.743400757991732,4,27
1,1995,53,No commercial small demersal fish,0.213176989172157,4,27
1,1995,28,European conger,0.0293778585316928,4,27
1,1995,63,Other benthic cephalopods,0.0817398981486127,4,27
1,1995,29,European hake juv.,0.0727668917248808,4,27
1,1995,50,Red mullet,0.0718559888611742,3,9
1,1995,60,Coastal benthic cephalopods,0.118419502541473,3,24
1,1995,65,Gastropods,0.00419032847187142,4,27
1,1995,19,European sardine adult,0.00995260073243002,1,1
1,1995,40,Scorpaenidae+,0.100320951722556,4,27
1,1995,55,Small-spotted catshark,0.0155593403847212,4,27
1,1995,43,Labridae and serranidae+,0.0773402968909944,3,9
1,1995,73,Other commercial decapods,0.00814845886103402,2,19
1,1995,59,Torpedos,0.05005554326895,3,22
1,1995,17,Horse mackerels,1.59372436369775,4,27
1,1996,61,Benthopelagic cephalopods,0.0789619254476393,4,33
1,1996,44,Flatfishes,0.205654422192671,4,33
1,1996,74,Non-commercial decapods,0.410183053185083,4,33
1,1996,65,Gastropods,0.00297405324456799,4,33
1,1996,53,No commercial small demersal fish,0.221799471068091,4,33
1,1996,35,Sparidae+,2.06545453665958,4,33
1,1996,28,European conger,0.0759971347858292,4,33
1,1996,37,Common two-banded seabream,0.0117268628222444,2,7
1,1996,63,Other benthic cephalopods,0.0569783303132896,4,33
